epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.411,2.14055,6.02139,1.67673,0,0,0,0,1.51335,5.54043,1.30218,3.20294e-05,3.20294e-05,3.20294e-05
2,100.661,1.52294,5.61435,1.20722,0,0,0,0,1.29636,5.36485,1.10752,6.42247e-05,6.42247e-05,6.42247e-05
3,153.632,1.39932,5.42348,1.09446,0.00115,0.03001,0.00247,0.00115,1.2723,5.12378,1.05497,9.56032e-05,9.56032e-05,9.56032e-05
4,203.838,1.39263,5.22009,1.0745,0.00447,0.11818,0.0117,0.00675,1.29091,4.75831,1.05457,9.53246e-05,9.53246e-05,9.53246e-05
5,255.676,1.36067,5.00544,1.06117,0.00678,0.21092,0.01567,0.00933,1.29886,4.4786,1.06086,9.40995e-05,9.40995e-05,9.40995e-05
6,308.401,1.36545,4.79553,1.06518,0.3526,0.14738,0.0238,0.01462,1.30992,4.18506,1.07255,9.28744e-05,9.28744e-05,9.28744e-05
7,359.951,1.33769,4.53357,1.05394,0.70231,0.06991,0.03371,0.02061,1.3165,3.98654,1.07046,9.16493e-05,9.16493e-05,9.16493e-05
8,411.606,1.33781,4.31206,1.05803,0.75648,0.06717,0.04305,0.02631,1.30728,3.7526,1.07652,9.04241e-05,9.04241e-05,9.04241e-05
9,463.539,1.33515,4.11714,1.04964,0.70888,0.08679,0.04464,0.0285,1.3029,3.64741,1.07654,8.9199e-05,8.9199e-05,8.9199e-05
10,514.624,1.30407,3.9794,1.04698,0.62991,0.09182,0.05029,0.03183,1.29284,3.46006,1.06369,8.79739e-05,8.79739e-05,8.79739e-05
11,566.54,1.30223,3.82505,1.04773,0.66181,0.10148,0.05347,0.03448,1.28186,3.34173,1.07181,8.67487e-05,8.67487e-05,8.67487e-05
12,617.5,1.26417,3.74432,1.04277,0.57755,0.09794,0.05522,0.03631,1.27394,3.31664,1.07662,8.55236e-05,8.55236e-05,8.55236e-05
13,669.833,1.28685,3.58334,1.03572,0.57644,0.10354,0.0581,0.03776,1.2696,3.20437,1.07097,8.42985e-05,8.42985e-05,8.42985e-05
14,720.225,1.2561,3.52259,1.0365,0.55682,0.10702,0.05823,0.03833,1.25012,3.14004,1.06879,8.30734e-05,8.30734e-05,8.30734e-05
15,770.631,1.25478,3.40294,1.05565,0.52298,0.12162,0.06283,0.04079,1.2633,3.03497,1.07136,8.18482e-05,8.18482e-05,8.18482e-05
16,821.148,1.23424,3.35327,1.03052,0.51437,0.12735,0.06705,0.04357,1.24153,2.92543,1.06486,8.06231e-05,8.06231e-05,8.06231e-05
17,870.963,1.22194,3.29109,1.03145,0.51668,0.11694,0.06618,0.04292,1.22429,2.90035,1.06343,7.9398e-05,7.9398e-05,7.9398e-05
18,923.105,1.2161,3.22718,1.03399,0.49486,0.11937,0.06802,0.04557,1.23057,2.91295,1.0632,7.81729e-05,7.81729e-05,7.81729e-05
19,974.421,1.2123,3.14893,1.03822,0.46571,0.14194,0.06727,0.04366,1.22076,2.80686,1.0657,7.69477e-05,7.69477e-05,7.69477e-05
20,1026.08,1.21172,3.09821,1.04391,0.43744,0.13302,0.07002,0.04545,1.22081,2.78782,1.07881,7.57226e-05,7.57226e-05,7.57226e-05
21,1076.77,1.20353,3.12559,1.02734,0.43399,0.1211,0.07163,0.04581,1.22746,2.83695,1.0646,7.44975e-05,7.44975e-05,7.44975e-05
22,1128.65,1.19778,3.0174,1.03929,0.44793,0.14987,0.07285,0.04767,1.21929,2.71219,1.07001,7.32724e-05,7.32724e-05,7.32724e-05
23,1178.88,1.17497,2.97203,1.02136,0.44966,0.14064,0.07369,0.04761,1.20282,2.68998,1.07174,7.20473e-05,7.20473e-05,7.20473e-05
24,1230.48,1.17705,2.92333,1.03697,0.4256,0.14959,0.07667,0.04927,1.22332,2.70191,1.08597,7.08221e-05,7.08221e-05,7.08221e-05
25,1280.9,1.18195,2.94277,1.02658,0.44432,0.14765,0.07283,0.04771,1.19846,2.6321,1.07388,6.9597e-05,6.9597e-05,6.9597e-05
26,1332.12,1.15273,2.83773,1.02851,0.40547,0.15224,0.07607,0.0509,1.18433,2.64031,1.07271,6.83719e-05,6.83719e-05,6.83719e-05
27,1382.99,1.17079,2.88387,1.03165,0.42612,0.13862,0.07356,0.04849,1.20249,2.63209,1.08007,6.71467e-05,6.71467e-05,6.71467e-05
28,1434.14,1.15485,2.76629,1.02083,0.42919,0.14841,0.07417,0.04873,1.20241,2.63928,1.08544,6.59216e-05,6.59216e-05,6.59216e-05
29,1483.58,1.14509,2.76888,1.03102,0.43536,0.14009,0.07612,0.05033,1.19269,2.58342,1.08119,6.46965e-05,6.46965e-05,6.46965e-05
30,1535.65,1.1532,2.79139,1.01939,0.40595,0.15263,0.07835,0.05112,1.1943,2.55854,1.0846,6.34714e-05,6.34714e-05,6.34714e-05
31,1586.4,1.10636,2.73583,1.01638,0.42819,0.14762,0.08161,0.05399,1.17402,2.55125,1.07776,6.22463e-05,6.22463e-05,6.22463e-05
32,1637.28,1.14468,2.7251,1.02015,0.3814,0.15673,0.08356,0.05435,1.18478,2.50834,1.08619,6.10211e-05,6.10211e-05,6.10211e-05
33,1686.86,1.11535,2.72627,1.01505,0.41636,0.16023,0.07945,0.05293,1.16361,2.5243,1.07343,5.9796e-05,5.9796e-05,5.9796e-05
34,1737.1,1.11088,2.67981,1.01038,0.38302,0.1492,0.07882,0.05257,1.17544,2.53792,1.07697,5.85709e-05,5.85709e-05,5.85709e-05
35,1789.44,1.1329,2.66366,1.02874,0.3911,0.16331,0.08142,0.05302,1.17846,2.48225,1.07268,5.73457e-05,5.73457e-05,5.73457e-05
36,1840.34,1.12009,2.63519,1.00451,0.38459,0.14709,0.08194,0.0542,1.18783,2.55662,1.08533,5.61206e-05,5.61206e-05,5.61206e-05
37,1891.46,1.10857,2.61555,1.01478,0.40899,0.15679,0.08518,0.0554,1.17337,2.52052,1.0816,5.48955e-05,5.48955e-05,5.48955e-05
38,1943.83,1.08862,2.61367,1.01016,0.41497,0.16134,0.08859,0.05765,1.17791,2.51637,1.08219,5.36704e-05,5.36704e-05,5.36704e-05
39,1995.41,1.10295,2.58235,1.0098,0.36573,0.16763,0.08623,0.05612,1.1892,2.52233,1.07784,5.24453e-05,5.24453e-05,5.24453e-05
40,2047.09,1.0919,2.57879,1.00834,0.37685,0.15244,0.08733,0.05739,1.18352,2.52478,1.08115,5.12201e-05,5.12201e-05,5.12201e-05
41,2098.01,1.07921,2.60824,1.01676,0.38392,0.16427,0.08992,0.05968,1.16949,2.46519,1.07802,4.9995e-05,4.9995e-05,4.9995e-05
42,2149.86,1.09898,2.55058,1.00722,0.35352,0.15069,0.09077,0.05881,1.19092,2.54383,1.09023,4.87699e-05,4.87699e-05,4.87699e-05
43,2201.42,1.07012,2.51402,1.00235,0.4351,0.16184,0.09537,0.06214,1.16768,2.43727,1.0781,4.75447e-05,4.75447e-05,4.75447e-05
44,2252.13,1.07279,2.51504,0.993,0.39974,0.1491,0.08931,0.05828,1.17262,2.49847,1.08358,4.63196e-05,4.63196e-05,4.63196e-05
45,2302.44,1.07195,2.49746,0.99587,0.43058,0.15293,0.09041,0.05934,1.17149,2.49919,1.08584,4.50945e-05,4.50945e-05,4.50945e-05
46,2362.02,1.06819,2.5216,1.00146,0.37175,0.17054,0.0905,0.05916,1.16744,2.4966,1.07463,4.38694e-05,4.38694e-05,4.38694e-05
47,2424.22,1.06504,2.47701,0.99907,0.40359,0.17159,0.09439,0.06161,1.17188,2.44983,1.07854,4.26442e-05,4.26442e-05,4.26442e-05
48,2486.26,1.06658,2.50056,0.99412,0.37367,0.17186,0.09735,0.06246,1.17503,2.45921,1.08189,4.14191e-05,4.14191e-05,4.14191e-05
49,2539.05,1.05527,2.46958,1.0019,0.41061,0.16468,0.0911,0.05926,1.1827,2.49436,1.09107,4.0194e-05,4.0194e-05,4.0194e-05
50,2589.83,1.05441,2.45561,0.98978,0.43753,0.1485,0.09543,0.06274,1.17597,2.55616,1.0844,3.89689e-05,3.89689e-05,3.89689e-05
51,2641.69,1.0398,2.41837,0.9908,0.38202,0.16591,0.09399,0.06137,1.16979,2.51778,1.08303,3.77437e-05,3.77437e-05,3.77437e-05
52,2692.33,1.07316,2.40104,1.00198,0.42906,0.15127,0.09756,0.06352,1.17432,2.57335,1.08445,3.65186e-05,3.65186e-05,3.65186e-05
53,2744.05,1.03516,2.43205,0.98475,0.45955,0.17014,0.09333,0.06075,1.16023,2.39566,1.08544,3.52935e-05,3.52935e-05,3.52935e-05
54,2795,1.04322,2.39811,0.9901,0.39655,0.15154,0.09286,0.05969,1.17677,2.59547,1.08496,3.40684e-05,3.40684e-05,3.40684e-05
55,2845.79,1.03887,2.40284,0.99579,0.3943,0.16818,0.09334,0.06059,1.18258,2.48137,1.09019,3.28432e-05,3.28432e-05,3.28432e-05
56,2896.98,1.02271,2.39056,0.99066,0.42101,0.17216,0.09538,0.06195,1.16962,2.44024,1.08647,3.16181e-05,3.16181e-05,3.16181e-05
57,2946.4,1.04,2.36457,0.99057,0.38382,0.16152,0.09119,0.05875,1.19111,2.51333,1.10363,3.0393e-05,3.0393e-05,3.0393e-05
58,2997.34,1.04352,2.36281,0.99419,0.45408,0.16469,0.09338,0.0595,1.19846,2.5484,1.10174,2.91679e-05,2.91679e-05,2.91679e-05
59,3049.44,1.00802,2.3459,0.9797,0.34286,0.1707,0.09206,0.05903,1.19444,2.4742,1.10815,2.79427e-05,2.79427e-05,2.79427e-05
60,3100.61,1.04234,2.32801,0.99372,0.4431,0.14882,0.094,0.06164,1.17159,2.59464,1.08932,2.67176e-05,2.67176e-05,2.67176e-05
61,3150.75,1.0165,2.32825,0.97579,0.39691,0.16989,0.09467,0.06195,1.18196,2.47059,1.09745,2.54925e-05,2.54925e-05,2.54925e-05
62,3202,1.03593,2.36341,0.98828,0.4007,0.15989,0.09727,0.06357,1.18712,2.53193,1.09737,2.42674e-05,2.42674e-05,2.42674e-05
63,3253.1,1.02116,2.35228,0.98502,0.42174,0.16404,0.09953,0.06446,1.18387,2.52342,1.09863,2.30422e-05,2.30422e-05,2.30422e-05
64,3303.69,1.01556,2.3305,0.97992,0.41784,0.16878,0.09585,0.06169,1.18092,2.45819,1.09858,2.18171e-05,2.18171e-05,2.18171e-05
65,3353.08,1.02722,2.31404,0.98398,0.40923,0.15953,0.10036,0.06498,1.18137,2.54705,1.09655,2.0592e-05,2.0592e-05,2.0592e-05
66,3402.56,1.01924,2.32985,0.98109,0.41394,0.17007,0.10031,0.06434,1.19265,2.49001,1.10493,1.93669e-05,1.93669e-05,1.93669e-05
67,3453.59,1.01024,2.28026,0.972,0.40089,0.16438,0.09691,0.06251,1.18189,2.50393,1.09524,1.81418e-05,1.81418e-05,1.81418e-05
68,3504.4,1.01048,2.32462,0.98452,0.42454,0.1624,0.09988,0.06438,1.18726,2.57133,1.10141,1.69166e-05,1.69166e-05,1.69166e-05
69,3554.59,1.01992,2.32099,0.97763,0.398,0.16662,0.09776,0.06327,1.17246,2.52261,1.09102,1.56915e-05,1.56915e-05,1.56915e-05
70,3605.6,1.02194,2.31027,0.98124,0.43573,0.16234,0.09891,0.06401,1.18402,2.53909,1.09845,1.44664e-05,1.44664e-05,1.44664e-05
71,3662.08,1.01635,2.58603,1.01247,0.36853,0.1771,0.09074,0.0577,1.18486,2.43298,1.11078,1.32412e-05,1.32412e-05,1.32412e-05
72,3713.48,1.00207,2.47738,0.99649,0.40601,0.1685,0.08791,0.05475,1.20029,2.44899,1.12087,1.20161e-05,1.20161e-05,1.20161e-05
73,3763.4,0.97841,2.39347,0.98264,0.46058,0.15728,0.08613,0.05395,1.18931,2.51388,1.11043,1.0791e-05,1.0791e-05,1.0791e-05
74,3814.63,0.97003,2.36838,0.9888,0.4204,0.17268,0.08735,0.05538,1.18814,2.48043,1.11077,9.56588e-06,9.56588e-06,9.56588e-06
75,3863.2,0.95179,2.35023,0.98173,0.45008,0.15213,0.08863,0.05702,1.18644,2.46835,1.10945,8.34075e-06,8.34075e-06,8.34075e-06
76,3913.49,0.95206,2.35008,0.97293,0.47738,0.15207,0.0919,0.05841,1.17673,2.44919,1.10607,7.11562e-06,7.11562e-06,7.11562e-06
77,3964.05,0.94578,2.31718,0.98069,0.47762,0.14983,0.09159,0.05836,1.17804,2.45587,1.10537,5.8905e-06,5.8905e-06,5.8905e-06
78,4015.27,0.95017,2.32267,0.97982,0.45949,0.15581,0.09191,0.05869,1.17554,2.46911,1.10479,4.66537e-06,4.66537e-06,4.66537e-06
79,4064.84,0.93581,2.33428,0.97112,0.46342,0.15461,0.09187,0.0588,1.17923,2.46102,1.10734,3.44025e-06,3.44025e-06,3.44025e-06
80,4114.56,0.94682,2.31246,0.97397,0.46006,0.15693,0.09214,0.05882,1.17872,2.45581,1.10637,2.21512e-06,2.21512e-06,2.21512e-06
